"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00009661",14.7343119797543,-2.2447999787832,0.51145644910815,-4.38903445776774,1.13855030177896e-05,0.000248424821699195
"WBGene00003228",9.22781461715439,-3.19829480143954,0.760435876965372,-4.20587047286984,2.60079164408378e-05,0.000475281923977664
"WBGene00003154",9.5487986954629,-3.24470837067078,0.754051030713334,-4.30303552214666,1.68473826275796e-05,0.000338191766961013
"WBGene00007573",2.30277041942894,-4.51626851397622,1.44071886515387,-3.13473268325246,0.0017201077810122,0.0146944649341093
"WBGene00007580",3.17570128516459,-3.93654568212014,1.38071784849308,-2.85108625662838,0.00435701482438083,0.0295542882539911
"WBGene00004392",14.9280904485567,-3.42106786934119,0.635375006614455,-5.38432867790957,7.27155250977772e-08,4.19819544900795e-06
"WBGene00003157",9.14844826971646,-2.39199520572486,0.644963310834059,-3.70873066040231,0.000208300855657364,0.00268568138796175
"WBGene00000465",50.2127232020499,-5.75604835496912,0.689605774155259,-8.34686797978173,7.00969975943037e-17,4.57312812305237e-14
"WBGene00011410",4.24021230354497,-2.77481606510965,1.04050893869564,-2.66678734022996,0.00765801118918936,0.045626360729015
"WBGene00015083",13.2698325939408,-6.06205441626109,1.22487708793478,-4.94911242603294,7.45526759917932e-07,2.53323780297114e-05
"WBGene00019811",4.82967260242492,-3.61028901136115,1.15461999288097,-3.12682010845221,0.00176708015811726,0.0150109778015065
"WBGene00015102",52.9486050026729,-4.09917797463014,0.425161308676496,-9.64146522972813,5.34199503610668e-22,4.97873937365143e-19
"WBGene00004390",2.90897491817653,-3.80157953929289,1.38970607699749,-2.73552775095173,0.00622803346549407,0.0390314028135286
"WBGene00018950",5.04790767629777,-3.04099058036027,1.00254424276769,-3.03327319696646,0.00241916481538599,0.0189467362011743
"WBGene00018953",10.9942717650491,-2.33367541305694,0.593738224141329,-3.93047864895667,8.4776922028631e-05,0.00132316899357605
"WBGene00000479",48.4398528074955,-2.81532608282535,0.350608906470546,-8.02981906867747,9.76165192579e-16,4.89884747414261e-13
"WBGene00018420",2.17408497071591,-4.43000440512196,1.46605089275472,-3.02172620815226,0.0025133776820014,0.0194280521295938
"WBGene00006977",4.85841527361864,-3.61694675691148,1.15321828579695,-3.13639386528797,0.00171039331771169,0.0146630827920513
"WBGene00004391",10.5724400203499,-3.11857939880042,0.698534976799555,-4.4644570456424,8.02720500452841e-06,0.000188466369202912
"WBGene00011501",12.0787370902965,-3.32405370833433,0.685087159495615,-4.85201577968796,1.22212896511409e-06,3.85177264174121e-05
"WBGene00003158",9.20003049535277,-2.63297933219681,0.686210266057911,-3.83698621608003,0.000124553460201526,0.00180007391847096
"WBGene00004798",35.5536512205542,-2.76349907315405,0.391174021494465,-7.064628327301,1.61046455685298e-12,4.37777948704536e-10
"WBGene00006571",3.84818732928549,-3.24808608281109,1.19081658112651,-2.72761240840165,0.00637945176691983,0.0399036848776462
"WBGene00006804",4.16729406319983,-2.7222472101377,1.01851095946525,-2.67277164260162,0.00752274405799486,0.045191880510459
"WBGene00012558",3.48497053758899,-4.0753019796061,1.34533104754902,-3.0292187094252,0.00245187111876551,0.0191568948249416
"WBGene00012557",2.90304202439761,-3.79693020201901,1.38053385653713,-2.75033472307812,0.005953441620706,0.0378559972061267
"WBGene00022046",5.72407753094356,-2.38590940813891,0.822600411246395,-2.90044762380291,0.00372630106785758,0.0266383744220359
"WBGene00016638",19.5489822100981,-5.71475252031623,1.06468865215942,-5.36753398162501,7.98204727338208e-08,4.41312511962243e-06
"WBGene00016636",13.1875539999894,-3.46716291200254,0.680537514539509,-5.09474178561431,3.49216892556787e-07,1.43964966405441e-05
"WBGene00018778",4.90719038352428,-2.52095356219586,0.896019987489616,-2.81350148143328,0.00490051603562369,0.0323265587627997
