"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00017851",14.4200161910041,7.49859333756725,1.22353092387754,6.12865044211808,8.86276024738768e-10,1.03251156882066e-07
"WBGene00015634",4.92223133181565,5.94862862795618,1.29878795106904,4.58013844604876,4.64668238444766e-06,0.000119821959984729
"WBGene00019074",2.90681217553035,4.14545869565323,1.39374681977682,2.97432692712228,0.00293632047334563,0.0219182548834175
"WBGene00019081",2.01458203023242,4.65739816872529,1.50696782723614,3.09057571405967,0.00199768865606306,0.0166236234593819
"WBGene00018895",2.19942789738685,4.78359371231092,1.4718451820091,3.25006581587692,0.00115378302619048,0.0108265619478933
"WBGene00016420",1.64489029592358,4.36603159492623,1.63699502119249,2.66710132798432,0.00765086008613502,0.0456254215739898
"WBGene00015028",7.87590849313088,6.62414383874675,1.2601111085824,5.2567934633945,1.46588780516975e-07,7.47144690697459e-06
"WBGene00015026",1.84889337978847,4.52965007398388,1.58878313876602,2.85101847033823,0.00435794379220408,0.0295542882539911
"WBGene00194700",1.80914847256761,4.50787327526073,1.59144526890384,2.83256569568721,0.00461760764919508,0.03070873833165
"WBGene00022751",24.9110289437699,7.31830021979208,1.21042009030998,6.04608290822231,1.48409746420183e-09,1.69864067657066e-07
"WBGene00022753",2.20085837118677,4.78418436126909,1.47170838998673,3.25076923785984,0.00115093234275627,0.0108265619478933
"WBGene00022754",12.3355229546852,7.27647382365307,1.23757899341616,5.87960353429029,4.11250303927489e-09,4.06514694367112e-07
"WBGene00020840",3.83330911115526,5.58716647125758,1.33499728589345,4.18515193273845,2.84975428890373e-05,0.000515008226615179
"WBGene00020841",4.96483718663636,5.9565678864322,1.31929250622779,4.51497136405605,6.33253220871141e-06,0.000154154627349378
"WBGene00006044",6.52603800318775,5.36159208356765,1.27295832712254,4.21191485167253,2.53214999006266e-05,0.000465344972821656
"WBGene00016753",3.81029518128926,5.58178652031378,1.34342738969259,4.15488515653312,3.25450965812039e-05,0.000581710164645958
"WBGene00015688",13.4924911993879,7.40327646092271,1.22908407870429,6.02340929249309,1.70780839329558e-09,1.88843084031532e-07
