"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00000269",0,1,1,2,1,2
"WBGene00022268",3,1,2,6,1,3
"WBGene00022274",0,0,0,0,0,0
"WBGene00003111",1,0,2,1,0,0
"WBGene00022156",0,0,0,0,0,0
"WBGene00004168",0,0,0,0,1,0
"WBGene00044358",0,0,0,2,0,0
"WBGene00022157",0,0,0,1,0,1
"WBGene00022155",0,0,0,2,5,1
"WBGene00022158",0,0,0,0,0,0
"WBGene00185098",0,0,0,0,0,0
"WBGene00022154",0,0,0,1,0,0
"WBGene00044348",0,0,0,0,0,0
"WBGene00006702",7,8,8,3,3,1
"WBGene00003080",4,0,1,0,0,0
"WBGene00022153",2,1,1,1,2,2
"WBGene00022152",0,2,1,0,1,0
"WBGene00006771",6,1,1,6,4,6
"WBGene00022159",0,2,5,2,1,2
"WBGene00022150",6,1,2,2,1,1
"WBGene00022149",6,2,4,1,1,1
"WBGene00022148",6,1,5,1,3,2
"WBGene00022160",0,0,0,0,2,0
"WBGene00022161",0,0,0,0,0,0
"WBGene00022146",0,2,1,0,2,0
"WBGene00022162",0,0,0,2,5,4
"WBGene00022145",0,0,0,1,2,4
"WBGene00022144",1,3,0,4,2,2
"WBGene00022143",0,0,0,6,0,1
"WBGene00044349",0,0,0,0,0,0
"WBGene00022142",0,0,0,0,0,0
"WBGene00044347",0,0,0,3,1,3
"WBGene00022141",2,10,3,1,2,1
"WBGene00044746",0,0,0,1,0,0
"WBGene00016907",3,9,7,1,2,7
"WBGene00004441",42,58,57,30,55,41
"WBGene00001196",2,3,3,6,9,11
"WBGene00303070",0,0,0,0,1,0
"WBGene00001309",4,1,4,1,0,0
"WBGene00003750",0,0,1,1,1,1
"WBGene00006461",0,0,0,0,1,0
"WBGene00044897",0,0,0,0,0,0
"WBGene00004743",2,4,5,4,4,3
"WBGene00022139",4,4,0,4,1,2
"WBGene00303094",0,0,0,0,0,0
"WBGene00022140",0,0,0,0,1,0
"WBGene00022138",8,3,5,11,7,8
"WBGene00021768",6,1,2,11,7,8
"WBGene00021766",6,6,0,3,1,1
"WBGene00021765",4,1,1,2,0,2
"WBGene00255420",0,0,0,0,0,0
"WBGene00021771",1,0,4,2,1,1
"WBGene00044438",1,2,2,0,0,0
"WBGene00021764",4,4,3,2,1,3
"WBGene00021763",10,6,11,0,1,0
"WBGene00021238",2,2,3,2,0,2
"WBGene00021237",1,1,1,0,2,1
"WBGene00021239",3,0,1,0,1,0
"WBGene00044435",0,0,0,0,0,0
"WBGene00021346",0,1,0,2,1,3
"WBGene00021347",1,3,0,1,4,1
"WBGene00021348",3,1,4,0,1,2
"WBGene00021349",3,1,0,0,0,0
"WBGene00004409",52,40,39,29,31,25
"WBGene00021350",54,56,49,38,31,26
"WBGene00004014",8,12,11,9,9,5
"WBGene00021351",12,10,6,4,8,4
"WBGene00021352",0,3,2,6,5,4
"WBGene00021353",0,0,0,0,0,0
"WBGene00003799",12,9,7,6,6,8
"WBGene00044810",0,0,0,3,1,1
"WBGene00021354",4,1,1,1,5,5
"WBGene00021355",12,15,12,5,9,14
"WBGene00235158",0,0,0,0,0,0
"WBGene00021009",3,11,6,0,1,6
"WBGene00021008",0,0,1,0,0,0
"WBGene00021005",6,3,6,0,0,0
"WBGene00001542",0,0,0,0,0,0
"WBGene00021006",0,0,0,4,1,3
"WBGene00021007",0,0,0,17,11,6
"WBGene00017399",0,0,0,0,0,0
"WBGene00017398",0,0,1,0,2,2
"WBGene00000020",1,3,0,2,1,2
"WBGene00021458",0,0,0,0,0,0
"WBGene00000408",4,1,2,2,0,3
"WBGene00021469",1,4,0,5,6,4
"WBGene00021470",17,20,14,5,4,5
"WBGene00021468",1,2,2,0,0,1
"WBGene00002047",8,6,2,1,2,1
"WBGene00021467",8,3,4,3,2,1
"WBGene00021476",0,2,3,0,1,1
"WBGene00021475",3,1,0,1,0,2
"WBGene00021466",15,18,15,9,8,7
"WBGene00021465",2,1,4,1,1,1
"WBGene00003156",16,14,12,2,0,0
"WBGene00219275",2,1,0,0,0,0
"WBGene00021471",0,0,0,4,3,2
"WBGene00021477",0,0,0,0,1,0
"WBGene00021472",0,0,0,0,3,1
"WBGene00021464",0,0,0,0,0,0
"WBGene00021463",0,0,0,0,0,0
"WBGene00077563",0,0,0,1,3,0
"WBGene00021461",0,0,0,0,0,0
"WBGene00021473",1,0,0,0,0,0
"WBGene00021474",7,4,4,2,1,2
"WBGene00021460",5,5,11,5,4,5
"WBGene00017741",0,1,0,0,2,0
"WBGene00017734",6,12,7,7,11,5
"WBGene00017735",7,4,2,2,6,3
"WBGene00017736",0,0,0,2,0,1
"WBGene00017737",0,0,0,0,3,1
"WBGene00017738",1,1,1,2,0,0
"WBGene00017733",3,10,6,9,1,3
"WBGene00255457",0,0,0,0,0,0
"WBGene00017732",0,0,0,0,0,0
"WBGene00002141",0,0,0,0,0,0
"WBGene00022280",1,0,1,1,1,1
"WBGene00022281",1,1,0,20,16,6
"WBGene00022282",0,0,0,19,14,5
"WBGene00001232",2,13,5,7,3,9
"WBGene00021277",3,10,5,2,3,3
"WBGene00021276",3,6,1,3,1,1
"WBGene00021275",0,0,0,1,3,2
"WBGene00021274",0,0,0,0,0,0
"WBGene00021279",0,0,0,0,0,0
"WBGene00021280",0,0,1,0,0,0
"WBGene00021272",0,0,0,0,0,0
"WBGene00194701",0,0,0,0,0,1
"WBGene00016950",0,0,0,0,0,0
"WBGene00016949",0,0,0,0,0,1
"WBGene00006047",0,0,0,5,5,3
"WBGene00016948",0,0,0,0,0,0
"WBGene00000006",0,0,0,0,0,0
"WBGene00001404",5,8,7,6,8,6
"WBGene00004226",0,0,0,1,1,2
"WBGene00019461",0,0,0,3,2,5
"WBGene00000832",1,1,0,0,0,0
