"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00013636",0,0,0,0,0,0
"WBGene00185102",0,0,0,0,0,0
"WBGene00194913",0,0,0,0,0,0
"WBGene00044263",0,0,0,0,0,0
"WBGene00013639",0,1,2,0,1,0
"WBGene00220254",0,0,0,0,0,0
"WBGene00194931",0,0,0,0,0,0
"WBGene00013642",0,0,0,0,0,1
"WBGene00194646",0,0,0,0,0,0
"WBGene00194645",0,0,0,0,0,0
"WBGene00013643",1,0,0,0,1,0
"WBGene00013645",0,0,0,0,0,0
"WBGene00001549",0,0,0,0,0,0
"WBGene00013646",0,0,0,0,0,0
"WBGene00005725",0,0,0,0,0,0
"WBGene00013647",5,2,1,9,7,7
"WBGene00005726",0,0,0,0,0,0
"WBGene00013649",0,0,0,0,0,1
"WBGene00013650",0,2,0,1,2,5
"WBGene00005727",0,0,0,0,0,0
"WBGene00013651",1,0,0,2,1,1
"WBGene00004816",0,2,0,0,0,0
"WBGene00013653",0,0,0,0,0,0
"WBGene00013654",1,0,2,0,1,1
"WBGene00013655",0,0,0,0,0,0
"WBGene00013656",0,0,0,1,0,1
"WBGene00013657",0,0,0,5,4,3
"WBGene00013658",0,1,1,0,0,0
"WBGene00013659",0,0,0,0,0,0
"WBGene00002175",0,0,2,1,0,2
"WBGene00219478",0,0,0,0,0,0
"WBGene00013665",0,0,0,0,0,0
"WBGene00013662",0,0,0,0,0,0
"WBGene00001604",9,9,9,32,27,12
"WBGene00194929",0,0,0,0,0,0
"WBGene00012416",2,0,1,1,0,0
"WBGene00010411",0,0,0,0,0,0
"WBGene00010412",0,0,0,0,0,0
"WBGene00005722",0,0,0,0,0,0
"WBGene00010413",0,0,0,0,0,0
"WBGene00010414",0,0,0,0,0,0
"WBGene00010415",0,0,0,0,0,0
"WBGene00005808",0,0,0,0,0,0
"WBGene00009535",0,0,0,0,0,0
"WBGene00001961",0,0,0,0,0,0
"WBGene00009540",0,0,0,0,0,0
"WBGene00009536",0,0,0,0,0,0
"WBGene00009539",0,0,0,0,0,0
"WBGene00009537",0,0,0,0,0,0
"WBGene00009538",0,0,0,0,0,0
"WBGene00023517",0,0,0,0,0,0
"WBGene00023514",0,0,0,0,0,0
"WBGene00004287",0,0,0,0,0,0
"WBGene00010531",0,0,0,7,6,7
"WBGene00010530",0,0,0,0,0,0
"WBGene00043052",0,0,0,0,0,0
"WBGene00044587",0,0,0,0,0,0
"WBGene00010528",0,0,0,0,0,0
"WBGene00010527",0,0,0,0,0,0
"WBGene00023513",0,0,0,0,0,0
"WBGene00023508",0,0,0,0,0,0
"WBGene00045101",0,0,0,0,0,0
"WBGene00005436",0,0,0,0,0,0
"WBGene00005435",0,0,0,0,0,0
"WBGene00007960",0,0,0,0,0,0
"WBGene00007961",0,0,0,0,0,0
"WBGene00012420",0,0,0,0,0,0
"WBGene00185101",0,0,0,0,0,0
"WBGene00013418",0,0,0,0,0,0
"WBGene00013419",6,4,1,3,0,1
"WBGene00012423",7,4,7,3,0,0
"WBGene00012424",0,0,0,1,0,0
"WBGene00012425",0,0,0,0,0,0
"WBGene00012159",0,0,0,0,0,0
"WBGene00013098",0,0,0,0,0,0
"WBGene00219244",0,0,0,0,0,0
"WBGene00004357",10,14,8,14,11,12
"WBGene00013100",1,0,0,0,0,0
"WBGene00194647",0,0,0,0,0,1
"WBGene00013101",0,0,0,1,0,0
"WBGene00194927",0,0,0,0,0,0
"WBGene00013102",0,0,0,0,0,0
"WBGene00013103",0,2,0,5,3,2
"WBGene00013104",0,0,0,0,0,0
"WBGene00000710",0,0,0,0,0,0
"WBGene00013105",0,0,0,0,1,0
"WBGene00013120",0,0,0,19,7,3
"WBGene00194924",0,0,0,0,0,0
"WBGene00045178",0,0,0,0,0,0
"WBGene00013107",0,0,0,1,2,0
"WBGene00013106",1,1,1,0,1,0
"WBGene00013109",1,0,1,1,0,0
"WBGene00013111",0,0,0,0,1,0
"WBGene00255553",0,0,0,0,0,0
"WBGene00013116",0,0,0,0,0,1
"WBGene00013117",0,0,0,0,0,0
"WBGene00013119",0,0,0,1,1,0
"WBGene00013118",0,0,0,1,1,0
"WBGene00012787",0,0,0,0,0,0
"WBGene00012788",0,0,0,0,0,0
"WBGene00012789",0,0,0,0,0,0
"WBGene00012790",0,0,0,0,0,0
"WBGene00012791",0,0,0,0,0,0
"WBGene00012792",0,0,0,0,0,0
"WBGene00013774",0,0,0,0,0,0
"WBGene00013773",0,0,0,0,0,0
"WBGene00013775",0,0,0,0,0,0
"WBGene00013776",0,0,0,1,0,0
"WBGene00013777",0,0,0,0,0,0
"WBGene00013778",0,0,0,0,0,0
"WBGene00219241",0,0,0,0,0,0
"WBGene00003130",6,8,9,4,7,3
"WBGene00020284",1,3,3,2,1,3
"WBGene00020287",6,6,1,0,0,1
"WBGene00020286",0,2,1,0,2,1
"WBGene00235300",0,0,0,0,2,0
"WBGene00219547",0,0,0,0,1,0
"WBGene00020285",0,0,0,0,0,0
"WBGene00013784",0,0,0,0,0,1
"WBGene00235305",0,0,0,0,0,0
"WBGene00235304",0,0,0,0,0,0
"WBGene00255611",0,0,0,0,0,0
"WBGene00194672",0,0,0,0,0,0
"WBGene00013785",0,0,0,3,2,2
"WBGene00013786",0,0,0,0,0,0
"WBGene00045128",0,0,0,0,0,0
"WBGene00013790",2,1,0,2,1,1
"WBGene00013789",0,1,2,1,0,0
"WBGene00000184",2,2,1,3,4,2
"WBGene00013792",0,3,1,2,1,0
"WBGene00004402",0,0,0,0,0,0
"WBGene00013791",0,0,0,0,0,0
"WBGene00004403",2,0,4,2,0,2
"WBGene00013794",0,0,0,0,0,0
"WBGene00013795",0,0,0,0,0,0
"WBGene00013796",1,0,0,0,0,0
"WBGene00013797",0,0,0,0,0,0
"WBGene00013798",0,0,0,0,0,0
"WBGene00013799",0,0,0,0,0,0
"WBGene00013800",0,0,0,5,0,5
"WBGene00013815",0,0,0,0,0,0
"WBGene00219332",0,0,0,0,0,0
"WBGene00194957",0,0,0,0,0,0
"WBGene00013801",0,0,0,1,1,0
"WBGene00013802",0,0,0,1,0,1
"WBGene00013803",4,0,5,2,1,2
"WBGene00004914",4,8,2,3,5,1
"WBGene00013814",0,0,0,0,0,0
"WBGene00013804",2,1,0,1,0,0
"WBGene00013806",0,0,0,0,0,0
"WBGene00013805",2,1,2,2,2,1
"WBGene00013807",1,1,0,0,0,2
"WBGene00013808",6,8,8,6,4,8
"WBGene00000889",5,1,5,5,2,4
"WBGene00013809",0,0,0,5,1,2
"WBGene00006698",2,4,1,4,2,2
"WBGene00006405",9,9,11,2,7,6
"WBGene00013810",0,0,0,2,0,0
"WBGene00013811",0,0,0,0,0,1
"WBGene00013812",0,0,0,0,0,0
"WBGene00004819",1,0,0,0,0,0
"WBGene00004815",0,0,0,0,0,0
"WBGene00004814",0,0,0,0,0,0
"WBGene00004818",0,0,0,0,0,0
"WBGene00016877",3,0,1,1,3,3
"WBGene00000711",0,0,1,1,1,2
"WBGene00001460",0,0,0,4,1,2
"WBGene00016879",2,0,0,1,2,2
"WBGene00013779",1,0,0,0,0,0
"WBGene00013781",0,0,0,0,0,0
"WBGene00013782",0,0,0,0,0,0
"WBGene00013996",0,0,1,0,0,0
"WBGene00013997",5,8,10,4,3,7
"WBGene00013998",2,3,0,5,0,0
"WBGene00013999",0,0,0,13,3,5
"WBGene00014000",2,5,2,3,8,9
"WBGene00044244",0,1,0,17,9,18
"WBGene00006229",0,0,0,0,0,0
"WBGene00000224",0,1,2,0,6,2
"WBGene00001606",15,8,14,0,0,0
"WBGene00009155",0,0,0,0,0,0
"WBGene00009156",0,1,0,0,0,0
"WBGene00002005",213,208,169,144,116,138
"WBGene00012128",6,6,5,3,2,3
"WBGene00044067",4,3,1,4,3,4
"WBGene00012130",0,0,0,0,0,1
"WBGene00303083",0,0,0,0,0,0
"WBGene00012131",0,1,0,0,0,1
"WBGene00012132",0,0,0,0,0,0
"WBGene00012134",3,2,0,6,2,2
"WBGene00012135",0,1,0,0,0,0
"WBGene00004908",0,1,0,4,4,4
"WBGene00185097",0,0,0,1,0,0
"WBGene00008194",5,9,5,20,11,18
"WBGene00008195",1,0,3,0,1,0
"WBGene00008196",1,0,2,0,1,0
"WBGene00008197",2,1,0,1,1,1
"WBGene00008204",0,0,1,0,0,0
"WBGene00008198",0,0,0,1,0,0
"WBGene00008200",0,0,0,0,0,0
"WBGene00008199",0,0,0,3,2,1
"WBGene00189993",0,0,0,0,0,0
"WBGene00008201",0,0,0,23,19,18
"WBGene00008202",0,2,0,35,34,23
"WBGene00008203",0,0,0,0,0,0
"WBGene00007820",0,0,0,0,0,0
"WBGene00007822",0,0,0,0,0,0
"WBGene00006487",0,0,0,0,0,1
"WBGene00007827",0,0,0,0,0,0
"WBGene00007823",0,0,0,0,0,0
"WBGene00001811",2,0,0,1,0,0
"WBGene00007826",0,1,3,1,0,1
"WBGene00007824",9,6,10,7,5,3
"WBGene00007825",2,3,1,2,3,0
"WBGene00044238",0,0,0,0,0,0
"WBGene00011374",0,0,2,0,0,1
"WBGene00005678",0,0,0,0,0,0
"WBGene00011371",0,0,0,0,0,0
"WBGene00004061",3,0,3,2,7,0
"WBGene00011373",0,0,0,7,1,4
"WBGene00138714",0,0,0,0,1,0
"WBGene00011372",0,0,0,0,0,0
"WBGene00007357",2,0,0,0,2,0
"WBGene00007358",0,0,0,0,0,1
"WBGene00001550",0,0,0,0,0,0
"WBGene00007359",0,0,0,0,0,0
"WBGene00255702",0,0,0,0,0,0
"WBGene00045013",0,1,0,1,0,0
"WBGene00023501",0,0,0,0,0,0
"WBGene00008711",0,0,0,0,0,0
"WBGene00008710",11,12,8,1,0,1
"WBGene00008713",0,0,0,0,0,0
"WBGene00008709",0,0,0,0,0,0
"WBGene00001240",9,8,6,0,4,5
"WBGene00008708",0,0,0,0,0,0
"WBGene00008707",31,31,34,36,24,25
"WBGene00008706",1,0,1,0,0,0
"WBGene00008712",0,0,0,0,0,0
"WBGene00001733",0,0,0,0,0,0
"WBGene00007067",0,0,1,0,0,0
"WBGene00003525",0,0,0,0,0,1
"WBGene00010957",2,30,19,2,22,17
"WBGene00010958",0,7,7,0,7,12
"WBGene00010959",13,49,38,33,33,34
"WBGene00010960",45,34,40,68,45,49
"WBGene00010961",3,14,14,8,11,25
"WBGene00000829",54,93,101,138,100,111
"WBGene00010962",70,91,97,185,121,137
"WBGene00010963",26,32,24,30,29,31
"WBGene00010964",142,174,212,271,214,261
"WBGene00010965",53,61,61,94,77,84
"WBGene00010966",6,11,6,12,8,7
"WBGene00010967",24,22,29,31,37,36
"WBGene00015153",0,0,0,0,0,0
"WBGene00002061",11,25,22,11,7,12
"WBGene00255704",0,0,0,0,0,0
"WBGene00001177",0,4,1,2,3,3
"WBGene00015152",0,0,0,2,0,1
"WBGene00015151",0,0,0,0,0,0
"WBGene00021413",0,0,0,0,0,0
"WBGene00021412",0,0,0,1,0,0
"WBGene00021414",0,0,0,0,0,0
"WBGene00018976",0,0,0,0,0,0
"WBGene00004496",29,35,35,10,22,21
"WBGene00018975",6,5,3,3,2,4
"WBGene00000480",3,1,6,3,1,1
"WBGene00020999",5,5,6,2,4,2
"WBGene00021000",4,0,0,0,1,0
"WBGene00021004",12,12,8,4,7,4
"WBGene00044512",0,0,1,0,0,0
"WBGene00021003",0,0,1,0,0,0
"WBGene00005303",0,0,0,0,0,0
"WBGene00021002",6,7,1,13,23,13
"WBGene00006648",2,1,2,3,1,1
"WBGene00022435",0,2,1,2,1,2
"WBGene00022434",0,2,0,1,0,1
"WBGene00000838",11,11,11,18,8,10
"WBGene00044689",5,5,9,2,3,2
"WBGene00077643",0,1,0,0,0,0
"WBGene00017080",1,2,2,2,1,2
"WBGene00017082",0,0,1,0,0,1
"WBGene00005299",0,0,0,0,0,0
"WBGene00005301",0,0,0,0,0,0
"WBGene00017083",0,0,0,0,0,0
"WBGene00019814",0,0,0,0,0,0
"WBGene00019817",0,0,0,0,0,0
"WBGene00019818",0,0,0,0,0,0
"WBGene00019815",0,0,0,0,0,0
"WBGene00006419",0,0,0,0,0,0
"WBGene00006172",0,0,0,0,0,0
"WBGene00019816",0,0,0,0,0,0
"WBGene00021981",0,0,0,1,0,0
"WBGene00044513",0,0,0,0,0,1
"WBGene00021983",0,0,0,0,1,0
"WBGene00018010",6,1,4,2,3,0
"WBGene00018011",7,4,5,1,0,0
"WBGene00018013",4,2,1,0,1,1
"WBGene00003614",0,0,0,0,0,0
"WBGene00000022",2,3,1,6,6,6
"WBGene00020708",0,0,0,0,0,0
"WBGene00020707",0,0,0,6,3,15
"WBGene00020706",7,3,5,1,4,4
"WBGene00020705",3,2,0,1,0,0
"WBGene00021450",0,0,0,0,0,0
"WBGene00021449",0,0,0,0,0,0
"WBGene00021451",0,0,0,0,0,0
"WBGene00022643",0,0,1,0,0,1
"WBGene00022642",13,16,15,68,71,67
"WBGene00022641",0,1,0,0,0,0
"WBGene00022640",0,0,0,0,0,0
"WBGene00022639",0,0,0,0,0,0
"WBGene00022638",0,0,0,0,0,0
"WBGene00005284",0,0,0,0,0,0
"WBGene00022637",0,0,0,0,0,0
"WBGene00022644",3,5,9,9,9,13
"WBGene00022645",12,20,18,10,14,12
"WBGene00021448",0,1,0,2,0,1
"WBGene00015259",0,0,0,0,0,0
"WBGene00015258",0,0,0,0,0,0
"WBGene00015257",0,0,0,0,0,0
"WBGene00015255",0,0,0,0,0,0
"WBGene00015260",0,0,0,0,0,0
"WBGene00015254",0,0,0,0,0,0
"WBGene00005256",0,0,0,0,0,0
"WBGene00005257",0,0,0,0,0,0
"WBGene00005258",0,0,0,0,0,0
"WBGene00019744",1,2,1,3,4,3
"WBGene00003713",0,0,0,0,0,0
"WBGene00003688",0,0,0,0,0,0
"WBGene00019743",0,0,0,0,0,0
"WBGene00019742",0,0,0,0,0,0
"WBGene00019741",0,0,0,0,0,0
"WBGene00019745",0,0,0,0,0,0
"WBGene00019740",0,0,0,0,0,0
"WBGene00003689",0,0,0,0,0,0
"WBGene00003645",0,0,0,0,0,0
"WBGene00003720",1,0,0,0,1,1
"WBGene00020153",0,0,0,0,0,0
"WBGene00020152",0,0,0,0,1,0
"WBGene00003696",0,0,0,1,0,0
"WBGene00006233",0,0,0,0,0,0
"WBGene00003721",0,1,0,0,1,0
"WBGene00020151",0,0,0,0,0,0
"WBGene00006282",0,0,0,0,0,0
"WBGene00020154",0,0,0,0,0,0
"WBGene00004144",0,1,0,0,1,0
"WBGene00020014",1,0,0,0,0,0
"WBGene00005260",0,0,0,0,0,0
"WBGene00020015",0,0,0,0,0,0
"WBGene00005854",0,0,0,0,0,0
"WBGene00020016",0,0,0,0,0,0
"WBGene00255729",0,0,0,0,0,0
"WBGene00005855",0,0,0,0,0,0
"WBGene00003648",0,0,0,0,0,0
"WBGene00003722",0,0,0,0,0,0
"WBGene00015759",2,0,0,2,2,0
"WBGene00015758",0,0,0,0,0,0
"WBGene00015757",0,0,0,0,0,0
"WBGene00015760",0,0,0,0,0,0
"WBGene00015762",0,0,0,0,0,0
"WBGene00005899",0,0,0,0,0,0
"WBGene00005898",0,0,0,0,0,0
"WBGene00015756",0,0,0,3,2,0
"WBGene00005585",0,0,0,0,0,0
"WBGene00005584",0,0,0,0,0,0
"WBGene00015764",0,0,0,0,0,0
"WBGene00019453",0,0,0,0,0,0
"WBGene00019452",0,0,0,0,0,0
"WBGene00019451",0,0,0,0,0,0
"WBGene00019450",0,0,0,1,0,0
"WBGene00019449",0,0,0,0,0,0
"WBGene00022758",0,0,0,0,0,0
"WBGene00022757",0,0,0,0,0,0
"WBGene00022756",0,0,0,0,0,0
"WBGene00004177",0,0,0,0,0,0
"WBGene00005856",0,0,0,0,0,0
"WBGene00004176",0,0,0,0,0,0
"WBGene00003680",0,0,0,0,0,0
"WBGene00018624",0,0,0,0,0,0
"WBGene00018615",0,0,0,1,0,0
"WBGene00018616",0,0,0,0,0,0
"WBGene00018617",0,0,0,0,0,0
"WBGene00018618",0,0,0,0,0,0
"WBGene00018619",0,0,0,0,0,0
"WBGene00018620",0,0,0,0,0,0
"WBGene00018621",0,0,0,0,0,0
"WBGene00018614",0,0,0,0,0,0
"WBGene00005621",0,0,0,0,0,0
"WBGene00018622",0,0,0,1,0,0
"WBGene00018623",0,0,0,0,0,0
"WBGene00017959",0,0,0,0,0,0
"WBGene00005593",0,0,0,0,0,0
"WBGene00005594",0,0,0,0,0,0
"WBGene00005451",0,0,0,0,0,0
"WBGene00005452",0,0,0,0,0,0
"WBGene00017963",0,0,0,0,0,0
"WBGene00017960",0,0,0,0,0,0
"WBGene00005472",0,0,0,0,0,0
"WBGene00017961",0,0,0,1,0,0
"WBGene00005687",0,0,0,0,0,0
"WBGene00005688",0,0,0,0,0,0
"WBGene00017962",1,2,2,0,1,0
"WBGene00005912",0,0,0,0,0,0
"WBGene00005913",0,0,0,0,0,0
"WBGene00005914",0,0,0,0,0,0
"WBGene00017957",0,0,0,1,2,1
"WBGene00019244",3,3,0,1,0,0
"WBGene00005895",0,0,0,0,0,0
"WBGene00005632",0,0,0,0,0,0
"WBGene00005631",0,0,0,0,0,0
"WBGene00021709",1,0,1,0,0,0
"WBGene00005896",0,0,0,0,0,0
"WBGene00021708",0,0,0,0,0,0
"WBGene00021707",0,0,0,0,0,0
"WBGene00021706",0,0,0,0,0,0
"WBGene00021710",0,0,0,0,0,0
"WBGene00019242",0,0,0,0,0,0
"WBGene00019243",0,0,0,0,0,0
"WBGene00001564",26,17,22,64,97,68
"WBGene00005228",0,0,0,0,0,0
"WBGene00005613",0,0,0,0,0,0
"WBGene00005612",0,0,0,0,0,0
"WBGene00015489",0,0,0,0,0,0
"WBGene00006182",0,0,0,0,0,0
"WBGene00005516",0,0,0,0,0,0
"WBGene00006288",0,0,0,0,0,1
"WBGene00005642",1,0,0,3,4,1
"WBGene00006087",0,0,0,0,0,0
"WBGene00206359",0,0,0,0,0,0
"WBGene00015491",0,0,0,0,0,0
"WBGene00005643",2,1,1,2,2,0
"WBGene00006266",0,0,0,0,0,0
"WBGene00019983",7,13,9,12,8,8
"WBGene00019982",0,0,0,0,0,0
"WBGene00044514",0,0,0,0,0,0
"WBGene00019981",0,0,0,0,0,0
"WBGene00044091",0,0,0,0,0,0
"WBGene00020060",0,0,0,0,0,0
"WBGene00020062",0,0,0,0,0,0
"WBGene00020058",0,0,0,0,0,0
"WBGene00020063",0,0,0,0,0,0
"WBGene00020057",0,0,0,0,0,0
"WBGene00020056",0,0,0,0,0,0
"WBGene00005923",0,0,0,0,0,0
"WBGene00005922",0,0,0,0,0,0
"WBGene00018313",0,0,0,0,0,0
"WBGene00018312",0,0,0,0,0,0
"WBGene00019561",0,0,0,2,3,1
"WBGene00044778",0,0,0,0,0,0
"WBGene00019562",0,0,0,1,1,1
"WBGene00019559",0,0,0,0,0,0
"WBGene00019558",0,0,0,0,0,0
"WBGene00019557",0,0,0,0,0,0
"WBGene00019563",0,0,0,2,3,0
"WBGene00019556",0,0,0,3,0,3
"WBGene00020155",2,3,4,6,6,7
"WBGene00020156",1,0,0,1,1,0
"WBGene00044777",0,0,0,4,0,2
"WBGene00044776",0,0,0,0,0,1
"WBGene00005210",0,0,0,0,0,0
"WBGene00005622",0,0,0,0,0,0
"WBGene00020157",0,0,0,0,0,0
"WBGene00255731",0,0,0,0,0,0
"WBGene00255732",0,0,0,0,0,0
"WBGene00255733",0,0,0,0,0,0
"WBGene00235327",0,0,0,0,0,0
"WBGene00003550",0,0,0,1,0,0
"WBGene00001480",1,0,0,0,0,1
"WBGene00019241",4,4,4,2,1,0
"WBGene00019240",5,3,6,2,2,5
"WBGene00019239",0,0,0,0,0,0
"WBGene00021748",4,2,1,1,1,1
"WBGene00021750",0,0,0,0,0,1
"WBGene00005024",6,5,2,1,0,3
"WBGene00303091",0,0,0,0,0,0
"WBGene00006770",5,1,1,0,0,2
"WBGene00021749",3,3,4,1,1,1
"WBGene00019971",14,12,11,2,0,0
"WBGene00019972",1,0,0,5,7,3
"WBGene00019973",0,0,0,0,0,1
"WBGene00019975",0,0,0,2,0,0
"WBGene00015344",13,17,9,6,6,6
"WBGene00019625",0,0,0,0,0,0
"WBGene00019624",0,0,0,9,3,4
"WBGene00006129",0,0,0,0,0,0
"WBGene00019626",0,0,0,7,1,3
"WBGene00019623",1,0,0,0,1,0
"WBGene00021745",0,0,0,0,1,0
"WBGene00021744",0,0,0,0,0,0
"WBGene00021743",1,5,0,0,1,0
"WBGene00021741",0,0,1,0,0,0
"WBGene00021740",1,0,0,0,0,1
"WBGene00021072",0,0,0,0,0,0
"WBGene00000785",10,12,11,5,6,0
"WBGene00021070",0,0,0,0,0,1
"WBGene00020663",0,0,0,0,0,0
"WBGene00000552",10,15,15,27,25,14
"WBGene00020664",0,0,0,0,0,0
"WBGene00004230",0,0,0,0,0,0
"WBGene00020662",22,31,22,122,130,112
"WBGene00017764",0,0,0,0,0,0
"WBGene00021738",4,1,0,1,0,0
"WBGene00021736",1,1,4,0,2,3
"WBGene00195169",0,0,0,1,0,0
"WBGene00021739",0,0,0,0,0,1
"WBGene00021735",4,5,5,2,0,2
"WBGene00235315",0,0,0,0,1,0
"WBGene00016539",0,0,1,0,0,1
"WBGene00016538",0,0,0,1,0,0
"WBGene00004266",12,14,12,17,16,10
"WBGene00016540",0,0,0,0,0,0
"WBGene00022288",0,0,0,3,0,0
"WBGene00022289",0,0,0,0,0,1
"WBGene00004053",2,4,1,3,4,2
"WBGene00001171",0,0,0,0,0,1
"WBGene00017502",0,0,0,0,0,0
"WBGene00044774",0,0,0,0,0,1
"WBGene00022285",2,0,1,1,3,1
"WBGene00022284",2,0,1,0,3,0
"WBGene00004923",0,0,0,0,0,0
"WBGene00022286",7,6,8,6,7,7
"WBGene00022287",0,0,0,0,0,0
"WBGene00004925",0,1,1,0,0,0
"WBGene00020017",1,0,0,0,0,0
"WBGene00001578",1,1,1,3,5,2
"WBGene00019979",0,0,1,0,0,0
"WBGene00044900",0,0,0,0,0,0
"WBGene00000555",0,0,0,0,0,0
"WBGene00000559",0,0,0,0,0,0
"WBGene00000558",1,1,0,0,1,1
"WBGene00000557",1,0,0,1,1,1
"WBGene00000556",1,2,0,0,0,2
"WBGene00005611",0,0,0,0,0,0
"WBGene00019980",0,0,0,0,0,0
"WBGene00019978",6,3,2,1,1,2
"WBGene00019977",0,0,0,0,0,0
"WBGene00004139",0,0,0,0,0,0
"WBGene00018757",3,1,0,1,1,0
"WBGene00302980",25,23,23,15,18,18
"WBGene00006794",25,25,23,25,23,24
"WBGene00016513",2,0,0,2,1,0
"WBGene00016514",0,0,0,0,0,0
"WBGene00045390",0,0,0,2,0,0
"WBGene00016512",0,0,0,6,5,2
"WBGene00005690",0,0,0,0,0,0
"WBGene00005691",0,0,0,0,0,0
"WBGene00016517",0,0,0,0,0,0
"WBGene00006268",0,0,0,0,0,0
"WBGene00006270",0,0,0,0,0,0
"WBGene00006265",0,0,0,0,0,0
"WBGene00019348",0,0,0,0,0,0
"WBGene00019349",0,0,0,0,0,0
"WBGene00019350",0,0,0,0,0,0
"WBGene00018707",0,0,0,3,2,3
"WBGene00018708",0,0,0,0,0,0
"WBGene00018706",0,0,0,0,0,0
"WBGene00018709",0,0,0,0,0,0
"WBGene00000387",4,5,4,0,0,0
"WBGene00017509",0,0,0,1,0,0
"WBGene00017508",0,0,0,0,0,0
"WBGene00017507",0,0,0,0,1,0
"WBGene00017506",3,7,3,7,7,5
"WBGene00017504",0,0,0,0,0,0
"WBGene00017510",0,0,0,0,0,0
"WBGene00017503",0,0,0,0,0,0
"WBGene00017511",0,0,0,0,0,0
"WBGene00017512",0,0,0,0,0,0
"WBGene00003707",0,0,0,0,0,0
"WBGene00003700",0,0,0,1,0,0
"WBGene00021610",0,0,0,0,0,0
"WBGene00021611",0,1,0,0,0,1
"WBGene00021612",0,0,0,0,0,0
"WBGene00021609",0,0,0,0,0,0
"WBGene00006253",0,0,0,0,0,0
"WBGene00006252",0,0,0,0,0,0
"WBGene00021608",0,1,0,3,0,0
"WBGene00000108",0,0,0,0,0,0
"WBGene00019393",0,0,0,0,0,0
"WBGene00019392",0,0,0,0,0,0
"WBGene00019391",0,0,0,0,0,0
"WBGene00019389",0,0,0,0,0,0
"WBGene00019388",1,0,0,0,0,0
"WBGene00019387",0,0,0,0,0,0
"WBGene00019386",0,0,0,0,0,0
"WBGene00005845",0,0,0,0,0,0
"WBGene00005838",0,0,0,0,0,0
"WBGene00005229",0,0,0,0,0,0
"WBGene00005231",0,0,0,0,0,0
"WBGene00021605",2,1,1,0,0,0
"WBGene00021607",1,0,1,0,0,0
"WBGene00005837",0,0,0,0,0,0
"WBGene00005846",0,0,0,0,0,0
"WBGene00005847",0,0,0,0,0,0
"WBGene00005850",0,0,0,0,0,0
"WBGene00005849",0,0,0,0,0,0
"WBGene00005848",0,0,0,0,0,0
"WBGene00005539",0,0,0,0,0,0
"WBGene00001769",0,0,0,0,0,1
"WBGene00006205",0,0,0,0,0,0
"WBGene00022807",0,0,0,0,0,0
"WBGene00022805",0,0,0,0,0,1
"WBGene00022808",0,0,0,0,0,0
"WBGene00005410",0,0,0,0,0,0
"WBGene00022804",0,0,0,0,0,0
"WBGene00022809",0,0,0,0,0,0
"WBGene00021603",0,1,0,0,0,0
"WBGene00021602",0,0,0,0,0,0
"WBGene00000976",3,5,4,11,3,3
"WBGene00018115",0,0,0,0,0,1
"WBGene00018112",0,1,1,0,1,0
"WBGene00018113",0,0,0,0,0,0
"WBGene00018111",0,0,0,0,0,0
"WBGene00018110",0,0,0,0,0,0
"WBGene00268194",0,0,0,0,0,0
"WBGene00018114",0,0,0,0,0,0
"WBGene00002016",2,0,0,2,2,4
"WBGene00002018",0,0,0,1,2,2
"WBGene00021599",0,0,0,0,0,0
"WBGene00021600",0,0,0,0,0,0
"WBGene00021601",0,1,0,0,0,0
"WBGene00001632",5,6,7,8,2,3
"WBGene00044344",4,1,1,1,0,1
"WBGene00021309",0,0,0,0,0,0
"WBGene00020394",0,0,0,1,1,1
"WBGene00020393",3,0,1,2,2,5
"WBGene00020396",0,0,0,0,0,0
"WBGene00020389",3,8,3,1,1,0
"WBGene00020392",4,3,1,1,0,2
"WBGene00020390",1,0,0,0,2,2
"WBGene00020391",30,22,17,10,18,2
"WBGene00021305",3,2,5,5,1,5
"WBGene00021304",0,0,0,0,0,0
"WBGene00021303",0,0,0,0,0,0
"WBGene00005644",0,0,0,0,0,0
"WBGene00021302",0,0,0,0,0,2
"WBGene00021301",0,0,0,0,0,0
"WBGene00044516",0,0,0,0,0,0
"WBGene00001785",0,0,0,0,0,0
"WBGene00020277",0,0,0,0,0,0
"WBGene00020280",1,0,0,1,1,0
"WBGene00020279",0,0,0,2,1,1
"WBGene00044518",0,0,0,0,0,0
"WBGene00021494",0,0,0,0,0,0
"WBGene00005603",0,0,0,0,0,0
"WBGene00020343",0,1,0,1,2,2
"WBGene00020342",0,0,0,2,1,0
"WBGene00020341",0,2,0,1,1,1
"WBGene00020340",3,1,2,0,4,5
"WBGene00006589",0,1,1,2,6,1
"WBGene00000111",0,0,0,0,2,1
"WBGene00019089",0,0,0,0,0,0
"WBGene00019096",0,0,0,0,0,1
"WBGene00019094",0,0,0,0,0,0
"WBGene00044519",0,0,0,0,0,0
"WBGene00019090",0,0,0,0,0,0
"WBGene00268196",0,0,0,0,0,0
"WBGene00019092",0,0,0,0,0,0
"WBGene00019091",0,0,0,0,0,0
"WBGene00044520",0,0,0,0,0,0
"WBGene00001857",0,0,0,0,0,0
"WBGene00021488",0,0,0,0,0,0
"WBGene00021490",0,0,0,0,0,0
"WBGene00021491",0,0,0,0,0,0
"WBGene00268197",0,0,0,0,0,0
"WBGene00021492",0,0,0,0,0,0
